match_id,batting_team,bowling_team,innings,venue,ball,runs_off_bat,extras,Total_runs_in_6_Overs
335994,Deccan Chargers,Mumbai Indians,2,185,108.3,58,2,60
335994,Mumbai Indians,Deccan Chargers,1,195,113.69999999999999,23,4,27
335995,Delhi Daredevils,Kings XI Punjab,1,1026,108.0,41,4,45
335995,Kings XI Punjab,Delhi Daredevils,2,972,102.6,53,2,55
335996,Chennai Super Kings,Royal Challengers Bangalore,1,570,108.1,33,3,36
335996,Royal Challengers Bangalore,Chennai Super Kings,2,570,104.1,43,2,45
335997,Kolkata Knight Riders,Mumbai Indians,1,296,106.3,39,1,40
335997,Mumbai Indians,Kolkata Knight Riders,2,312,106.8,35,3,38
335998,Delhi Daredevils,Royal Challengers Bangalore,1,333,105.3,55,3,58
335998,Royal Challengers Bangalore,Delhi Daredevils,2,324,102.6,53,2,55
335999,Deccan Chargers,Kings XI Punjab,1,1102,111.0,48,2,50
335999,Kings XI Punjab,Deccan Chargers,2,1044,102.6,41,0,41
336000,Kolkata Knight Riders,Rajasthan Royals,2,1312,115.19999999999999,45,6,51
336000,Rajasthan Royals,Kolkata Knight Riders,1,1184,105.3,40,5,45
336001,Chennai Super Kings,Delhi Daredevils,1,702,111.8,44,3,47
336001,Delhi Daredevils,Chennai Super Kings,2,666,104.29999999999998,62,2,64
336002,Deccan Chargers,Royal Challengers Bangalore,1,1131,109.69999999999999,32,9,41
336002,Royal Challengers Bangalore,Deccan Chargers,2,1044,102.6,41,2,43
336003,Kings XI Punjab,Kolkata Knight Riders,1,1026,113.0,46,3,49
336003,Kolkata Knight Riders,Kings XI Punjab,2,1026,108.99999999999999,25,6,31
336004,Delhi Daredevils,Mumbai Indians,2,180,102.6,37,0,37
336004,Mumbai Indians,Delhi Daredevils,1,185,106.3,48,2,50
336005,Chennai Super Kings,Rajasthan Royals,1,1184,104.29999999999998,32,6,38
336005,Rajasthan Royals,Chennai Super Kings,2,1152,102.6,42,2,44
336006,Kings XI Punjab,Royal Challengers Bangalore,2,600,110.7,43,9,52
336006,Royal Challengers Bangalore,Kings XI Punjab,1,585,107.69999999999999,23,3,26
336007,Chennai Super Kings,Deccan Chargers,1,702,115.8,26,8,34
336007,Deccan Chargers,Chennai Super Kings,2,666,106.3,49,1,50
336008,Mumbai Indians,Rajasthan Royals,2,195,105.8,30,4,34
336008,Rajasthan Royals,Mumbai Indians,1,180,102.6,48,0,48
336009,Chennai Super Kings,Delhi Daredevils,2,342,113.0,58,4,62
336009,Delhi Daredevils,Chennai Super Kings,1,342,106.1,47,3,50
336010,Kolkata Knight Riders,Royal Challengers Bangalore,1,304,106.99999999999999,39,2,41
336010,Royal Challengers Bangalore,Kolkata Knight Riders,2,304,110.0,33,2,35
336011,Deccan Chargers,Rajasthan Royals,1,1184,104.29999999999998,48,2,50
336011,Rajasthan Royals,Deccan Chargers,2,1216,109.0,48,2,50
336012,Mumbai Indians,Royal Challengers Bangalore,2,600,117.5,30,9,39
336012,Royal Challengers Bangalore,Mumbai Indians,1,540,102.6,36,0,36
336013,Chennai Super Kings,Kings XI Punjab,1,774,123.7,45,8,53
336013,Kings XI Punjab,Chennai Super Kings,2,648,102.6,35,0,35
336014,Deccan Chargers,Kolkata Knight Riders,2,1160,122.7,50,5,55
336014,Kolkata Knight Riders,Deccan Chargers,1,1044,102.6,43,0,43
336015,Delhi Daredevils,Rajasthan Royals,1,1184,107.3,43,4,47
336015,Rajasthan Royals,Delhi Daredevils,2,1216,109.0,14,7,21
336016,Kings XI Punjab,Royal Challengers Bangalore,2,999,103.29999999999998,40,2,42
336016,Royal Challengers Bangalore,Kings XI Punjab,1,999,108.3,44,6,50
336017,Delhi Daredevils,Kolkata Knight Riders,2,296,103.29999999999998,35,2,37
336017,Kolkata Knight Riders,Delhi Daredevils,1,312,115.79999999999998,31,4,35
336018,Chennai Super Kings,Mumbai Indians,1,1440,102.6,28,0,28
336018,Mumbai Indians,Chennai Super Kings,2,1640,120.2,70,8,78
336019,Kings XI Punjab,Rajasthan Royals,1,999,105.3,49,2,51
336019,Rajasthan Royals,Kings XI Punjab,2,999,106.3,37,1,38
336020,Deccan Chargers,Delhi Daredevils,2,342,108.0,68,3,71
336020,Delhi Daredevils,Deccan Chargers,1,342,112.0,45,3,48
336021,Kolkata Knight Riders,Mumbai Indians,1,1640,120.19999999999999,22,5,27
336021,Mumbai Indians,Kolkata Knight Riders,2,1520,103.39999999999999,58,10,68
336022,Delhi Daredevils,Kings XI Punjab,1,360,109.69999999999999,63,5,68
336022,Kings XI Punjab,Delhi Daredevils,2,342,108.99999999999999,71,2,73
336023,Rajasthan Royals,Royal Challengers Bangalore,1,1248,108.69999999999999,43,8,51
336023,Royal Challengers Bangalore,Rajasthan Royals,2,1248,112.8,20,3,23
336024,Deccan Chargers,Mumbai Indians,2,1131,114.69999999999999,29,3,32
336024,Mumbai Indians,Deccan Chargers,1,1073,103.29999999999998,56,1,57
336025,Chennai Super Kings,Kolkata Knight Riders,2,304,104.1,40,3,43
336025,Kolkata Knight Riders,Chennai Super Kings,1,296,103.29999999999998,31,4,35
336026,Delhi Daredevils,Royal Challengers Bangalore,2,555,104.29999999999998,61,10,71
336026,Royal Challengers Bangalore,Delhi Daredevils,1,600,112.69999999999999,33,8,41
336027,Kolkata Knight Riders,Rajasthan Royals,1,304,105.99999999999999,28,4,32
336027,Rajasthan Royals,Kolkata Knight Riders,2,288,102.6,42,0,42
336028,Kings XI Punjab,Mumbai Indians,1,1440,102.6,42,1,43
336028,Mumbai Indians,Kings XI Punjab,2,1600,106.69999999999999,56,12,68
336029,Chennai Super Kings,Royal Challengers Bangalore,2,702,108.8,37,7,44
336029,Royal Challengers Bangalore,Chennai Super Kings,1,648,102.6,22,1,23
336031,Deccan Chargers,Kings XI Punjab,1,999,108.3,40,2,42
336031,Kings XI Punjab,Deccan Chargers,2,972,102.6,74,0,74
336032,Delhi Daredevils,Mumbai Indians,2,324,102.6,56,0,56
336032,Mumbai Indians,Delhi Daredevils,1,333,104.29999999999998,59,1,60
336033,Chennai Super Kings,Rajasthan Royals,2,666,103.29999999999998,63,2,65
336033,Rajasthan Royals,Chennai Super Kings,1,666,103.29999999999998,62,5,67
336034,Deccan Chargers,Royal Challengers Bangalore,2,555,103.29999999999998,31,2,33
336034,Royal Challengers Bangalore,Deccan Chargers,1,570,111.0,44,2,46
336035,Kings XI Punjab,Kolkata Knight Riders,1,320,114.39999999999999,39,8,47
336035,Kolkata Knight Riders,Kings XI Punjab,2,304,107.99999999999999,49,2,51
336036,Mumbai Indians,Rajasthan Royals,1,1248,109.69999999999999,26,3,29
336036,Rajasthan Royals,Mumbai Indians,2,1248,116.7,32,4,36
336037,Chennai Super Kings,Deccan Chargers,2,1160,112.5,40,4,44
336037,Deccan Chargers,Chennai Super Kings,1,1044,102.6,25,1,26
336038,Delhi Daredevils,Rajasthan Royals,2,1560,107.69999999999999,23,5,28
336038,Rajasthan Royals,Delhi Daredevils,1,1480,103.29999999999998,57,1,58
336039,Chennai Super Kings,Kings XI Punjab,2,1520,106.99999999999999,33,2,35
336039,Kings XI Punjab,Chennai Super Kings,1,1480,105.3,34,1,35
336040,Chennai Super Kings,Rajasthan Royals,1,185,103.29999999999998,40,2,42
336040,Rajasthan Royals,Chennai Super Kings,2,180,102.6,36,5,41
392181,Chennai Super Kings,Mumbai Indians,2,874,113.0,33,7,40
392181,Mumbai Indians,Chennai Super Kings,1,828,102.6,39,1,40
392182,Rajasthan Royals,Royal Challengers Bangalore,2,966,117.9,8,6,14
392182,Royal Challengers Bangalore,Rajasthan Royals,1,828,102.6,28,1,29
392183,Delhi Daredevils,Kings XI Punjab,2,736,72.89999999999999,53,5,58
392183,Kings XI Punjab,Delhi Daredevils,1,897,109.8,60,7,67
392184,Deccan Chargers,Kolkata Knight Riders,2,828,102.6,37,0,37
392184,Kolkata Knight Riders,Deccan Chargers,1,851,108.3,18,3,21
392185,Chennai Super Kings,Royal Challengers Bangalore,1,1332,104.29999999999998,66,2,68
392185,Royal Challengers Bangalore,Chennai Super Kings,2,1404,113.7,42,4,46
392186,Kings XI Punjab,Kolkata Knight Riders,1,504,102.6,46,0,46
392186,Kolkata Knight Riders,Kings XI Punjab,2,560,111.5,56,4,60
392188,Deccan Chargers,Royal Challengers Bangalore,1,828,102.6,56,6,62
392188,Royal Challengers Bangalore,Deccan Chargers,2,874,112.1,29,2,31
392189,Chennai Super Kings,Delhi Daredevils,2,532,109.99999999999999,55,6,61
392189,Delhi Daredevils,Chennai Super Kings,1,504,102.6,59,0,59
392190,Kolkata Knight Riders,Rajasthan Royals,2,874,107.99999999999999,35,3,38
392190,Kolkata Knight Riders,Rajasthan Royals,3,161,2.8,14,1,15
392190,Rajasthan Royals,Kolkata Knight Riders,1,851,108.3,52,2,54
392190,Rajasthan Royals,Kolkata Knight Riders,4,92,1.0,18,0,18
392191,Kings XI Punjab,Royal Challengers Bangalore,2,560,111.5,34,10,44
392191,Royal Challengers Bangalore,Kings XI Punjab,1,518,106.3,48,1,49
392192,Deccan Chargers,Mumbai Indians,1,546,114.7,50,5,55
392192,Mumbai Indians,Deccan Chargers,2,574,120.3,43,7,50
392194,Delhi Daredevils,Royal Challengers Bangalore,2,1332,104.29999999999998,42,1,43
392194,Royal Challengers Bangalore,Delhi Daredevils,1,1368,113.0,42,3,45
392195,Kings XI Punjab,Rajasthan Royals,1,966,130.2,32,6,38
392195,Rajasthan Royals,Kings XI Punjab,2,897,106.8,29,3,32
392196,Chennai Super Kings,Deccan Chargers,1,560,115.69999999999999,58,4,62
392196,Deccan Chargers,Chennai Super Kings,2,532,106.99999999999999,67,2,69
392197,Kolkata Knight Riders,Mumbai Indians,2,1404,110.7,43,4,47
392197,Mumbai Indians,Kolkata Knight Riders,1,1440,115.5,53,8,61
392198,Delhi Daredevils,Rajasthan Royals,1,1406,106.3,41,1,42
392198,Rajasthan Royals,Delhi Daredevils,2,1482,105.8,30,3,33
392199,Kolkata Knight Riders,Royal Challengers Bangalore,1,532,105.99999999999999,39,6,45
392199,Royal Challengers Bangalore,Kolkata Knight Riders,2,574,114.3,41,5,46
392200,Kings XI Punjab,Mumbai Indians,1,518,107.3,24,2,26
392200,Mumbai Indians,Kings XI Punjab,2,546,109.69999999999999,20,3,23
392201,Deccan Chargers,Delhi Daredevils,1,1406,104.29999999999998,36,1,37
392201,Delhi Daredevils,Deccan Chargers,2,1444,114.1,38,3,41
392202,Chennai Super Kings,Rajasthan Royals,1,1368,102.6,40,0,40
392202,Rajasthan Royals,Chennai Super Kings,2,1406,103.29999999999998,33,5,38
392203,Kolkata Knight Riders,Mumbai Indians,2,111,105.3,25,1,26
392203,Mumbai Indians,Kolkata Knight Riders,1,117,107.8,34,6,40
392204,Kings XI Punjab,Royal Challengers Bangalore,2,518,105.3,34,1,35
392204,Royal Challengers Bangalore,Kings XI Punjab,1,518,104.29999999999998,37,1,38
392205,Deccan Chargers,Rajasthan Royals,1,1296,102.6,38,1,39
392205,Rajasthan Royals,Deccan Chargers,2,1368,108.99999999999999,28,2,30
392206,Chennai Super Kings,Delhi Daredevils,1,858,113.69999999999999,50,3,53
392206,Delhi Daredevils,Chennai Super Kings,2,814,104.29999999999998,47,2,49
392207,Kings XI Punjab,Kolkata Knight Riders,2,1368,106.1,48,3,51
392207,Kolkata Knight Riders,Kings XI Punjab,1,1368,107.0,26,2,28
392208,Mumbai Indians,Royal Challengers Bangalore,1,814,104.29999999999998,22,3,25
392208,Royal Challengers Bangalore,Mumbai Indians,2,858,107.69999999999999,48,3,51
392209,Chennai Super Kings,Deccan Chargers,1,114,108.99999999999999,50,3,53
392209,Deccan Chargers,Chennai Super Kings,2,114,108.99999999999999,49,3,52
392210,Kings XI Punjab,Rajasthan Royals,2,504,102.6,24,5,29
392210,Rajasthan Royals,Kings XI Punjab,1,518,105.3,56,1,57
392211,Delhi Daredevils,Kolkata Knight Riders,2,518,108.3,55,2,57
392211,Kolkata Knight Riders,Delhi Daredevils,1,546,106.8,51,3,54
392212,Deccan Chargers,Mumbai Indians,1,1482,107.69999999999999,32,5,37
392212,Mumbai Indians,Deccan Chargers,2,1406,106.3,39,2,41
392213,Rajasthan Royals,Royal Challengers Bangalore,2,1368,102.6,31,0,31
392213,Royal Challengers Bangalore,Rajasthan Royals,1,1482,111.69999999999999,26,3,29
392214,Chennai Super Kings,Kings XI Punjab,1,1406,104.29999999999998,56,1,57
392214,Kings XI Punjab,Chennai Super Kings,2,1406,108.3,51,2,53
392215,Delhi Daredevils,Mumbai Indians,2,117,108.8,32,4,36
392215,Mumbai Indians,Delhi Daredevils,1,123,112.4,25,5,30
392216,Deccan Chargers,Kings XI Punjab,1,152,105.99999999999999,50,2,52
392216,Kings XI Punjab,Deccan Chargers,2,148,103.29999999999998,43,2,45
392217,Chennai Super Kings,Rajasthan Royals,2,152,110.0,35,2,37
392217,Rajasthan Royals,Chennai Super Kings,1,144,102.6,33,1,34
392218,Mumbai Indians,Royal Challengers Bangalore,1,1512,120.0,40,6,46
392218,Royal Challengers Bangalore,Mumbai Indians,2,1368,106.1,36,3,39
392219,Delhi Daredevils,Kolkata Knight Riders,2,836,107.0,40,7,47
392219,Kolkata Knight Riders,Delhi Daredevils,1,880,113.39999999999999,33,4,37
392220,Deccan Chargers,Rajasthan Royals,1,148,103.29999999999998,41,1,42
392220,Rajasthan Royals,Deccan Chargers,2,152,109.0,28,2,30
392221,Kolkata Knight Riders,Royal Challengers Bangalore,1,1368,102.6,38,0,38
392221,Royal Challengers Bangalore,Kolkata Knight Riders,2,1520,112.39999999999999,42,4,46
392222,Kings XI Punjab,Mumbai Indians,1,1558,116.3,46,5,51
392222,Mumbai Indians,Kings XI Punjab,2,1444,105.99999999999999,40,2,42
392223,Deccan Chargers,Delhi Daredevils,2,546,112.69999999999999,47,3,50
392223,Delhi Daredevils,Deccan Chargers,1,546,109.69999999999999,52,4,56
392224,Chennai Super Kings,Royal Challengers Bangalore,1,518,104.29999999999998,51,1,52
392224,Royal Challengers Bangalore,Chennai Super Kings,2,532,104.99999999999999,30,3,33
392225,Mumbai Indians,Rajasthan Royals,2,504,102.6,25,1,26
392225,Rajasthan Royals,Mumbai Indians,1,504,102.6,40,2,42
392226,Delhi Daredevils,Kings XI Punjab,1,960,119.6,28,10,38
392226,Kings XI Punjab,Delhi Daredevils,2,960,119.69999999999999,33,4,37
392227,Chennai Super Kings,Mumbai Indians,2,1332,105.3,34,1,35
392227,Mumbai Indians,Chennai Super Kings,1,1368,112.1,47,2,49
392228,Deccan Chargers,Kolkata Knight Riders,2,814,106.3,48,2,50
392228,Kolkata Knight Riders,Deccan Chargers,1,814,106.3,29,2,31
392229,Deccan Chargers,Kings XI Punjab,2,792,102.6,46,0,46
392229,Kings XI Punjab,Deccan Chargers,1,880,108.49999999999999,35,4,39
392230,Delhi Daredevils,Rajasthan Royals,1,912,104.1,33,2,35
392230,Rajasthan Royals,Delhi Daredevils,2,936,110.8,18,6,24
392231,Chennai Super Kings,Kolkata Knight Riders,1,1482,109.8,46,8,54
392231,Kolkata Knight Riders,Chennai Super Kings,2,1406,105.3,55,1,56
392232,Delhi Daredevils,Royal Challengers Bangalore,1,792,102.6,37,0,37
392232,Royal Challengers Bangalore,Delhi Daredevils,2,792,102.6,27,0,27
392233,Kolkata Knight Riders,Rajasthan Royals,2,518,107.3,28,1,29
392233,Rajasthan Royals,Kolkata Knight Riders,1,518,105.3,45,1,46
392234,Chennai Super Kings,Kings XI Punjab,1,504,102.6,50,0,50
392234,Kings XI Punjab,Chennai Super Kings,2,518,104.29999999999998,28,1,29
392235,Delhi Daredevils,Mumbai Indians,2,1368,102.6,60,0,60
392235,Mumbai Indians,Delhi Daredevils,1,1596,116.10000000000001,23,7,30
392236,Deccan Chargers,Royal Challengers Bangalore,2,1444,113.0,56,8,64
392236,Royal Challengers Bangalore,Deccan Chargers,1,1368,102.6,33,0,33
392237,Deccan Chargers,Delhi Daredevils,2,1558,117.10000000000001,79,5,84
392237,Delhi Daredevils,Deccan Chargers,1,1444,111.0,47,2,49
392238,Chennai Super Kings,Royal Challengers Bangalore,1,792,102.6,51,1,52
392238,Royal Challengers Bangalore,Chennai Super Kings,2,814,106.3,58,1,59
392239,Deccan Chargers,Royal Challengers Bangalore,1,858,107.99999999999999,28,3,31
392239,Royal Challengers Bangalore,Deccan Chargers,2,814,105.3,33,3,36
419106,Deccan Chargers,Kolkata Knight Riders,2,195,105.8,59,3,62
419106,Kolkata Knight Riders,Deccan Chargers,1,195,115.8,30,8,38
419107,Mumbai Indians,Rajasthan Royals,1,84,124.2,63,6,69
419107,Rajasthan Royals,Mumbai Indians,2,72,102.6,39,0,39
419108,Delhi Daredevils,Kings XI Punjab,2,1026,112.1,33,6,39
419108,Kings XI Punjab,Delhi Daredevils,1,1053,110.69999999999999,38,6,44
419109,Kolkata Knight Riders,Royal Challengers Bangalore,2,288,102.6,61,0,61
419109,Royal Challengers Bangalore,Kolkata Knight Riders,1,296,106.3,23,1,24
419110,Chennai Super Kings,Deccan Chargers,2,648,102.6,34,0,34
419110,Deccan Chargers,Chennai Super Kings,1,720,118.49999999999999,51,6,57
419111,Delhi Daredevils,Rajasthan Royals,2,1170,113.79999999999998,55,5,60
419111,Rajasthan Royals,Delhi Daredevils,1,1110,103.29999999999998,46,1,47
419112,Kings XI Punjab,Royal Challengers Bangalore,1,615,118.2,44,6,50
419112,Royal Challengers Bangalore,Kings XI Punjab,2,600,115.69999999999999,53,8,61
419113,Chennai Super Kings,Kolkata Knight Riders,1,288,102.6,31,0,31
419113,Kolkata Knight Riders,Chennai Super Kings,2,296,105.3,43,2,45
419114,Delhi Daredevils,Mumbai Indians,2,333,104.29999999999998,54,2,56
419114,Mumbai Indians,Delhi Daredevils,1,333,103.29999999999998,62,5,67
419115,Rajasthan Royals,Royal Challengers Bangalore,1,585,114.7,27,4,31
419115,Royal Challengers Bangalore,Rajasthan Royals,2,600,111.7,55,4,59
419116,Chennai Super Kings,Delhi Daredevils,2,333,103.29999999999998,55,1,56
419116,Delhi Daredevils,Chennai Super Kings,1,333,107.3,51,1,52
419117,Deccan Chargers,Kings XI Punjab,1,37,104.29999999999998,55,1,56
419117,Kings XI Punjab,Deccan Chargers,2,37,106.3,25,2,27
419118,Kolkata Knight Riders,Rajasthan Royals,2,1080,102.6,37,1,38
419118,Rajasthan Royals,Kolkata Knight Riders,1,1140,106.1,53,3,56
419119,Mumbai Indians,Royal Challengers Bangalore,1,80,112.5,36,9,45
419119,Royal Challengers Bangalore,Mumbai Indians,2,72,102.6,53,2,55
419120,Deccan Chargers,Delhi Daredevils,1,37,103.29999999999998,45,2,47
419120,Delhi Daredevils,Deccan Chargers,2,36,102.6,48,0,48
419121,Chennai Super Kings,Kings XI Punjab,2,720,115.39999999999999,35,7,42
419121,Chennai Super Kings,Kings XI Punjab,3,90,1.5,9,0,9
419121,Kings XI Punjab,Chennai Super Kings,1,648,102.6,38,0,38
419121,Kings XI Punjab,Chennai Super Kings,4,72,1.0,10,0,10
419122,Kolkata Knight Riders,Mumbai Indians,1,78,116.8,32,9,41
419122,Mumbai Indians,Kolkata Knight Riders,2,78,111.8,54,3,57
419123,Chennai Super Kings,Royal Challengers Bangalore,2,600,112.5,25,4,29
419123,Royal Challengers Bangalore,Chennai Super Kings,1,570,112.1,36,2,38
419124,Kings XI Punjab,Rajasthan Royals,2,1026,109.99999999999999,74,2,76
419124,Rajasthan Royals,Kings XI Punjab,1,1053,113.7,50,3,53
419125,Chennai Super Kings,Mumbai Indians,1,80,111.4,46,5,51
419125,Mumbai Indians,Chennai Super Kings,2,82,119.3,53,10,63
419126,Deccan Chargers,Rajasthan Royals,1,1170,110.8,50,5,55
419126,Rajasthan Royals,Deccan Chargers,2,1080,102.6,50,4,54
419127,Kings XI Punjab,Kolkata Knight Riders,2,1053,110.8,39,3,42
419127,Kolkata Knight Riders,Kings XI Punjab,1,1080,116.39999999999999,42,8,50
419128,Delhi Daredevils,Royal Challengers Bangalore,1,555,106.3,63,1,64
419128,Royal Challengers Bangalore,Delhi Daredevils,2,570,111.0,41,5,46
419129,Chennai Super Kings,Rajasthan Royals,2,1080,102.6,58,0,58
419129,Rajasthan Royals,Chennai Super Kings,1,1140,106.99999999999999,55,3,58
419130,Deccan Chargers,Mumbai Indians,2,190,112.0,41,9,50
419130,Mumbai Indians,Deccan Chargers,1,200,114.69999999999999,48,4,52
419131,Delhi Daredevils,Kolkata Knight Riders,1,351,109.8,59,3,62
419131,Kolkata Knight Riders,Delhi Daredevils,2,342,104.99999999999999,33,3,36
419132,Kings XI Punjab,Mumbai Indians,1,74,108.3,35,13,48
419132,Mumbai Indians,Kings XI Punjab,2,76,109.99999999999999,38,7,45
419133,Chennai Super Kings,Royal Challengers Bangalore,2,648,102.6,54,2,56
419133,Royal Challengers Bangalore,Chennai Super Kings,1,702,118.8,48,4,52
419134,Delhi Daredevils,Rajasthan Royals,1,342,109.0,49,3,52
419134,Rajasthan Royals,Delhi Daredevils,2,333,106.3,38,1,39
419135,Deccan Chargers,Kolkata Knight Riders,2,304,104.99999999999999,56,3,59
419135,Kolkata Knight Riders,Deccan Chargers,1,296,107.3,39,7,46
419136,Kings XI Punjab,Royal Challengers Bangalore,1,972,102.6,41,0,41
419136,Royal Challengers Bangalore,Kings XI Punjab,2,999,104.29999999999998,50,1,51
419137,Chennai Super Kings,Rajasthan Royals,1,648,102.6,66,0,66
419137,Rajasthan Royals,Chennai Super Kings,2,666,105.3,56,6,62
419138,Deccan Chargers,Mumbai Indians,2,72,102.6,40,0,40
419138,Mumbai Indians,Deccan Chargers,1,78,106.8,49,4,53
419139,Kings XI Punjab,Kolkata Knight Riders,2,296,105.3,66,3,69
419139,Kolkata Knight Riders,Kings XI Punjab,1,312,108.69999999999999,50,3,53
419140,Delhi Daredevils,Royal Challengers Bangalore,1,333,107.3,53,1,54
419140,Royal Challengers Bangalore,Delhi Daredevils,2,333,104.29999999999998,36,2,38
419141,Deccan Chargers,Rajasthan Royals,2,1599,113.8,47,5,52
419141,Rajasthan Royals,Deccan Chargers,1,1443,105.3,43,5,48
419142,Chennai Super Kings,Mumbai Indians,1,684,109.0,35,7,42
419142,Mumbai Indians,Chennai Super Kings,2,684,110.1,44,2,46
419143,Kings XI Punjab,Rajasthan Royals,1,1248,109.8,47,5,52
419143,Rajasthan Royals,Kings XI Punjab,2,1280,111.7,65,5,70
419144,Delhi Daredevils,Kolkata Knight Riders,2,296,106.3,40,4,44
419144,Kolkata Knight Riders,Delhi Daredevils,1,320,117.5,46,4,50
419145,Deccan Chargers,Royal Challengers Bangalore,2,555,106.3,30,2,32
419145,Royal Challengers Bangalore,Deccan Chargers,1,630,116.0,40,6,46
419146,Kings XI Punjab,Mumbai Indians,2,972,102.6,55,1,56
419146,Mumbai Indians,Kings XI Punjab,1,972,102.6,51,0,51
419147,Chennai Super Kings,Deccan Chargers,1,1482,108.0,53,2,55
419147,Deccan Chargers,Chennai Super Kings,2,1521,110.7,33,4,37
419148,Kolkata Knight Riders,Royal Challengers Bangalore,1,585,111.69999999999999,58,3,61
419148,Royal Challengers Bangalore,Kolkata Knight Riders,2,555,106.3,45,3,48
419149,Delhi Daredevils,Kings XI Punjab,1,351,108.8,38,7,45
419149,Kings XI Punjab,Delhi Daredevils,2,324,102.6,37,2,39
419150,Mumbai Indians,Rajasthan Royals,1,1248,108.8,43,4,47
419150,Rajasthan Royals,Mumbai Indians,2,1184,108.3,28,6,34
419151,Deccan Chargers,Royal Challengers Bangalore,1,1443,105.3,30,5,35
419151,Royal Challengers Bangalore,Deccan Chargers,2,1482,109.99999999999999,33,5,38
419152,Delhi Daredevils,Mumbai Indians,2,74,108.3,64,5,69
419152,Mumbai Indians,Delhi Daredevils,1,80,117.1,36,8,44
419153,Chennai Super Kings,Kolkata Knight Riders,2,702,107.69999999999999,56,11,67
419153,Kolkata Knight Riders,Chennai Super Kings,1,666,107.3,20,2,22
419154,Rajasthan Royals,Royal Challengers Bangalore,1,1184,104.29999999999998,29,1,30
419154,Royal Challengers Bangalore,Rajasthan Royals,2,1152,102.6,59,0,59
419155,Chennai Super Kings,Delhi Daredevils,1,684,107.99999999999999,34,5,39
419155,Delhi Daredevils,Chennai Super Kings,2,666,106.3,27,6,33
419156,Deccan Chargers,Kings XI Punjab,2,429,115.7,42,3,45
419156,Kings XI Punjab,Deccan Chargers,1,418,108.1,39,4,43
419157,Mumbai Indians,Royal Challengers Bangalore,1,570,110.0,31,3,34
419157,Royal Challengers Bangalore,Mumbai Indians,2,540,102.6,34,0,34
419158,Kolkata Knight Riders,Rajasthan Royals,2,320,111.5,38,4,42
419158,Rajasthan Royals,Kolkata Knight Riders,1,288,102.6,46,0,46
419159,Chennai Super Kings,Kings XI Punjab,2,418,113.0,46,3,49
419159,Kings XI Punjab,Chennai Super Kings,1,418,104.99999999999999,46,3,49
419160,Deccan Chargers,Delhi Daredevils,1,324,102.6,37,1,38
419160,Delhi Daredevils,Deccan Chargers,2,324,102.6,39,0,39
419161,Kolkata Knight Riders,Mumbai Indians,2,304,111.0,41,3,44
419161,Mumbai Indians,Kolkata Knight Riders,1,296,106.3,41,1,42
419162,Mumbai Indians,Royal Challengers Bangalore,1,200,115.4,46,8,54
419162,Royal Challengers Bangalore,Mumbai Indians,2,180,102.6,44,0,44
419163,Chennai Super Kings,Deccan Chargers,1,195,110.69999999999999,33,6,39
419163,Deccan Chargers,Chennai Super Kings,2,180,102.6,22,1,23
419164,Deccan Chargers,Royal Challengers Bangalore,1,190,110.0,24,3,27
419164,Royal Challengers Bangalore,Deccan Chargers,2,185,108.3,31,2,33
419165,Chennai Super Kings,Mumbai Indians,1,185,108.3,38,2,40
